singer,num_song,meanthumb,meansenti
Emma Stone,4,2824.22727273,0.055238934864
宋祖英,5,2493.63636364,0.0708152958153
José González,1,2424.83333333,0.027972027972
Hans Zimmer,10,6843.70833333,0.0523563999893
宮崎歩,2,8080.97058824,0.0486348456334
Atomic Kitten,1,2250.0,0.0
Thomas Bergersen,5,11354.3714286,0.0659285473989
S.E.N.S.,8,7707.27027027,0.0305336811874
EDX,1,1751.0,0.1
方雅贤,2,8346.04545455,0.074891585687
松本梨香,1,6756.42857143,0.18124091742
Clair,1,3840.0,0.25
THE STREET BEATS,1,2918.4,0.0490196078431
Mike Dawes,1,1846.33333333,0.0
Neil Davidge,1,1498.0,-0.25
Five for Fighting,1,5694.16666667,0.158376068376
Lia,4,3542.875,0.0712233835097
Danny Mc Carthy,1,10102.3333333,0.0244047619048
Lovebugs,2,5750.88235294,0.095413948173
上海彩虹室内合唱团,3,7047.375,0.0549793137808
Irony,1,2704.5,-0.075
Sara,1,4736.2,0.0848484848484
Ralph,1,1700.0,0.125
胡伟立,14,5531.46464646,0.0228088754769
ポルノグラフィティ,1,1858.0,0.189189189189
史逸欣,1,2600.0,0.0353146853146
Wax Tailor,1,1652.0,0.2
坂本龍一,5,3055.6,0.0198007908362
A-Lin,11,3383.74285714,0.0682935346764
Lora,1,4444.0,0.112121212121
秋若,1,3156.0,0.00392156862732
Amy Winehouse,1,1715.0,0.0555555555555
Little Mix,2,4617.18181818,0.0941699984981
Frente!,1,2149.5,-0.1
Tebey,1,3101.66666667,0.05
Starset,1,1949.0,0.0
Johannes Linstead,1,1572.0,-0.1
Dave Koz,1,3019.0,-0.00877192982457
Alexandro Querevalú,1,2572.5,0.227351916376
莫染,1,3656.5,0.0777972027971
靳松,1,2336.75,0.00560224089647
Cee Lo Green,1,2797.33333333,-0.030303030303
Oliver Heldens,1,2357.0,-0.0791666666667
余文乐,1,1905.0,0.078947368421
柿チョコ,4,2737.7,0.0413059163059
UVERworld,1,1863.0,0.0
TKDz2b,1,2149.5,0.125
Six60,1,8884.5,0.0
Alex C.,1,1919.0,0.0
K.Will,2,5924.25,-0.0237577639752
霜月はるか,2,2993.25,0.029761904762
江美琪,3,3340.125,0.135709422658
Beach House,1,1676.0,0.0
卢巧音,4,7407.95238095,0.0957591732345
张婧,1,2843.28571429,0.0573308270677
鲁向卉,1,5036.5,-0.0691875274484
Feenixpawl,1,3425.66666667,-0.00555555555567
洪启,1,5394.5,0.221111111111
SAFIA,2,9501.83333333,0.00757575757575
ROOK1E,3,2927.75,0.06
Albert hammond,1,1674.0,0.166666666667
徐真真,1,1879.66666667,-0.0666666666667
Gym Class Heroes,1,4325.0,0.0
Apink,3,2474.7,0.0524801587302
黄霑,5,2705.2,0.0437703962704
Aural Method,1,1784.0,0.0
KC4K,1,1638.5,-0.375
小八,1,2032.0,0.0
The Glitch Mob,1,3377.2,-0.0270833333334
曹颖,1,3200.4,0.0737373737374
大橋トリオ,1,2492.6,0.2935
ShakingHigh,1,2024.33333333,-0.0543209876543
Dusty Springfield,1,1681.0,0.153846153846
Myrne,2,3942.0,-0.0182291666666
梅林茂,3,2314.4,-0.0204817927172
Spyde,1,1757.0,0.0833333333333
Josiah James,1,6445.75,0.0211466165413
梦飞船,1,2837.25,-0.0457142857143
Marit Larsen,1,3251.0,0.133333333333
Caracol,1,2095.33333333,0.0888888888888
DuGong,1,2085.5,-0.0172413793104
黑豹乐队,2,5844.33333333,0.112840088655
罗云熙,1,1719.0,0.5
Kush,1,2067.0,0.0032051282051
钟舒漫,1,2745.0,1.0
Avens,1,2276.0,-0.027027027027
Beyond,21,7462.80582524,0.0319304311654
市川淳,1,5883.0,0.00797789167355
羽多野渉,1,3441.5,0.120211640212
贾乃亮,1,2390.0,0.0781039136302
Blue,3,5674.82352941,-0.0428616279914
Bobby Caldwell,1,2257.0,0.333333333333
张艺德,1,1994.5,-0.1875
胡歌,7,6529.27272727,0.0975561535248
Mad Clown,4,4793.08333333,0.0991564159136
Adam Levine,2,7550.65,0.00514822595709
温岚,2,3419.0,-0.028717948718
Peerless 2x2,1,5042.8,0.0615714285714
Klave,1,12703.2857143,0.015589569161
加藤達也,1,2511.5,0.0151515151515
ROOKiEZ is PUNK'D,1,3362.0,0.136257309941
Thomston,1,4096.33333333,0.0277777777777
Keira Knightley,4,3295.36842105,0.0787386646862
Lil Angel Boi,1,3294.83333333,0.0189393939393
巴士那,1,2868.66666667,0.047619047619
+α/あるふぁきゅん。,1,4457.66666667,0.00847556582851
ZAYN,1,4778.83333333,0.0516290726816
Laura Pausini,1,6135.0,0.0
巫启贤,1,3008.0,0.0
Rich Chigga,5,4570.05882353,0.0465686274509
TRUE,1,2463.0,-0.0666666666667
藍井エイル,4,4100.18181818,0.0980357877416
Vicci Martinez,1,5400.0,0.3
李维,1,2735.0,0.142857142857
DJ Daniel Kim,2,11482.5652174,0.0845256440651
A路人,5,3893.0,0.0246277712187
多亮,1,3159.0,0.199004046063
自然卷,3,9751.28571429,0.151175085419
朴信惠,1,1639.0,0.214285714286
Caro Emerald,4,3007.5,0.137016908213
THE虎舞竜,1,1675.0,0.0227272727273
Overwerk,1,2143.5,0.0416666666667
Beck,1,3522.0,0.0
Jetson,2,3988.5,0.0226851851852
遠藤幹雄,3,2636.9,-0.00317078754579
许冠杰,5,3827.17647059,0.104502588914
云之泣,1,2678.66666667,-0.0583333333333
KYO,1,2146.66666667,0.0666666666667
顾海滨,1,5745.44444444,-0.0391611474945
Libera,1,4493.0,-0.125
yutaka hirasaka,1,2132.66666667,0.0444444444443
キリンジ,1,2760.66666667,0.0384615384617
周云蓬,2,4082.25,0.0094974835865
Jon Young,1,5677.16666667,0.011396011396
FELT,3,4056.14285714,0.0396825396826
Chris Brown,2,3362.63636364,0.0230517848165
郑亨敦,1,2201.0,0.0
Sihan,1,1789.0,0.166666666667
Hayley Westenra,1,1656.0,0.166666666667
江涛,1,3757.25,-0.113095238095
JAY'ED,1,4337.71428571,0.0478973407544
松本晃彦,1,2634.0,-0.111111111111
飘乐队,2,5374.71428571,0.102800189843
裘繼戎子千,1,2795.0,0.0
Paramore,1,1491.0,0.166666666667
Avril Lavigne,16,5595.12658228,0.0483470573073
张柏芝,1,4919.66666667,0.248213659978
小柯,3,2668.4,0.0825792742726
Noah,1,5025.0,0.0
Юлія Рай,1,5486.71428571,0.037987012987
本多RuRu,1,2869.5,-0.0622895622895
OxT,1,3887.0,0.0
ナイトメア,1,2137.0,-0.166666666667
何勇,2,2119.8,0.128571428571
Yann Tiersen,5,4253.42307692,0.0479260845063
Sting,2,21486.1666667,0.0340204156674
IR拖鞋,2,2771.0,0.0599982193732
Katharine McPhee,1,2226.66666667,-0.0648148148148
饭碗的彼岸,3,4393.73333333,0.111852683853
Yamboo,1,1844.0,0.0
韩宝仪,1,5673.33333333,-0.00396825396833
Gloria Kim,1,2190.5,0.0405405405406
严老板,2,1596.0,0.166666666667
Sik-K,1,2879.0,0.0
彩音,1,3535.5,0.177953447519
王金永,2,2690.85714286,-0.0173314412445
Shakira,6,9156.71428571,0.0509125051536
陈僖仪,2,3653.0,-0.0290598290598
Tinashé,4,3430.375,-0.0572916666666
Nightwish,9,8142.53061224,0.014854601739
ABSOLUTE CASTAWAY,1,2155.0,0.177777777778
Louis The Child,1,1928.0,0.2
网易笑招SHE,1,8828.33333333,0.0297619047619
左宏元,2,5716.16666667,0.0588737073112
Danon,1,1636.0,0.0
Nathan Thomson,1,3390.0,0.0
刘胡轶,1,2244.0,-0.0128205128205
Elize,1,2572.25,0.0548245614036
丝绒公路,1,1767.0,0.0
ELLEGARDEN,2,1705.0,0.266666666666
Jibbs,1,4247.0,0.0
千菅春香,1,2737.0,0.0909090909091
Luke McMaster,1,4167.0,0.117647058824
Morrie,2,2506.25,0.133928571429
Aosaki,1,4933.28571429,0.0740641956398
大冰,3,3976.30769231,0.0511566864507
陈浩民,4,2039.625,0.111309523809
LeMarquis,1,2136.0,0.0
The Paragon Axis,2,4061.0,0.104392310199
CHEMISTRY,1,1770.0,0.142857142857
手嶌葵,5,3699.0,0.064380076327
Mitsunori Ikeda,1,1770.0,0.0909090909091
英语听力,5,3121.42857143,0.0999536178107
Tatiana Manaois,2,1731.5,0.0
Shayne Ward,3,6110.46666667,0.029190084636
小泽正澄,1,13108.9090909,-0.00827241149815
Ana Alcaide,1,3451.0,0.0394588272248
Adelén,1,4071.5,-0.1
Muse,3,3473.1,-0.0840043290043
